id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,ano_arquivo,data,hora,ano,mes,dia_semana_nome,gravidade
261110.0,2020-01-06,0.0,01:05:00,RJ,101,322,NITEROI,FALTA DE ATENÇÃO À CONDUÇÃO,COLISÃO COM OBJETO ESTÁTICO,SEM VÍTIMAS,PLENA NOITE,Decrescente,GAROA/CHUVISCO,SIMPLES,Viaduto,Sim,1,0,0,0,1,0,0,1,-22.878923,-43.110676,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2020,2020-06-01,1,2020.0,6.0,Segunda,0.0
261809.0,2020-01-09,1.0,23:30:00,RJ,101,"309,4",SAO GONCALO,AGRESSÃO EXTERNA,COLISÃO COM OBJETO ESTÁTICO,COM VÍTIMAS FERIDAS,PLENA NOITE,Crescente,CÉU CLARO,DUPLA,Reta,Sim,3,0,0,1,0,2,1,3,-22.79498873,-43.03446105,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2020,2020-09-01,23,2020.0,9.0,Terça,1.0
263611.0,2020-01-18,,14:10:00,RJ,493,"0,7",SAO GONCALO,FALTA DE ATENÇÃO À CONDUÇÃO,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENO DIA,Crescente,NUBLADO,SIMPLES,Reta,Sim,3,0,1,1,1,0,2,2,-22.77062,-42.92223,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2020,,14,,,,1.0
266791.0,2020-02-03,0.0,03:30:00,RJ,101,283,ITABORAI,FALTA DE ATENÇÃO À CONDUÇÃO,TOMBAMENTO,SEM VÍTIMAS,PLENA NOITE,Crescente,NUBLADO,DUPLA,Declive,Não,2,0,0,0,1,2,0,3,-22.73591014,-42.80592689,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2020,2020-03-02,3,2020.0,3.0,Segunda,0.0
268154.0,2020-02-05,5.0,21:40:00,RJ,101,311,SAO GONCALO,FALTA DE ATENÇÃO À CONDUÇÃO,ENGAVETAMENTO,COM VÍTIMAS FERIDAS,PLENA NOITE,Crescente,CHUVA,DUPLA,Reta,Sim,6,0,1,0,4,1,1,6,-22.80062246,-43.05318779,SPRF-RJ,DEL02-RJ,UOP02-DEL02-RJ,2020,2020-05-02,21,2020.0,5.0,Sábado,1.0
270713.0,2020-02-21,,13:40:00,RJ,101,286,ITABORAI,FALTA DE ATENÇÃO À CONDUÇÃO,COLISÃO TRASEIRA,SEM VÍTIMAS,PLENO DIA,Crescente,NUBLADO,DUPLA,Reta,Não,2,0,0,0,2,0,0,2,-22.75409331,-42.82491696,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2020,,13,,,,0.0
272989.0,2020-03-03,1.0,07:25:00,RJ,493,"2,9",ITABORAI,FALTA DE ATENÇÃO À CONDUÇÃO,COLISÃO TRASEIRA,COM VÍTIMAS FATAIS,PLENO DIA,Decrescente,NUBLADO,SIMPLES,Reta,Sim,2,1,0,0,1,0,0,2,-22.75950214,-42.93544822,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ,2020,2020-03-03,7,2020.0,3.0,Terça,2.0
273068.0,2020-03-03,1.0,04:00:00,RJ,101,"259,6",RIO BONITO,FALTA DE ATENÇÃO À CONDUÇÃO,COLISÃO COM OBJETO ESTÁTICO,SEM VÍTIMAS,PLENO DIA,Crescente,CHUVA,SIMPLES,Reta,Sim,2,0,0,0,1,1,0,2,-22.70382012,-42.59637797,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2020,2020-03-03,4,2020.0,3.0,Terça,0.0
274167.0,2020-03-08,0.0,22:00:00,RJ,101,288,ITABORAI,CONDUTOR DORMINDO,COLISÃO TRASEIRA,COM VÍTIMAS FERIDAS,PLENA NOITE,Decrescente,CÉU CLARO,DUPLA,Reta,Não,3,0,1,1,1,0,2,2,-22.75933747,-42.84321275,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2020,2020-08-03,22,2020.0,8.0,Segunda,1.0
274276.0,2020-03-09,3.0,11:20:00,RJ,101,295,ITABORAI,FALTA DE ATENÇÃO À CONDUÇÃO,SAÍDA DE LEITO CARROÇÁVEL,COM VÍTIMAS FERIDAS,PLENO DIA,Decrescente,SOL,DUPLA,Reta,Sim,1,0,1,0,0,0,1,1,-22.76365068,-42.90223623,SPRF-RJ,DEL02-RJ,UOP03-DEL02-RJ,2020,2020-09-03,11,2020.0,9.0,Quinta,1.0
